name,shape,dtype,numel,min,max,mean,std
layer1.0.weight,"[3, 3, 3, 3]",float32,81,-91.0,109.0,-1.691357970237732,44.725955963134766
layer1.0.bias,[3],float32,3,1817.0,3686.0,2967.666748046875,821.9790649414062
layer2.0.weight,"[12, 3, 2, 2]",float32,144,-54.0,56.0,-2.277777671813965,16.178451538085938
layer2.0.bias,[12],float32,12,-1674.0,3686.0,962.1666870117188,1661.138671875
layer3.0.weight,"[12, 12, 3, 3]",float32,1296,-127.0,94.0,-1.1813271045684814,21.9852352142334
layer3.0.bias,[12],float32,12,-915.0,2792.0,1227.6666259765625,1087.36279296875
layer4.0.weight,"[48, 12, 2, 2]",float32,2304,-56.0,42.0,-1.0785590410232544,13.167009353637695
layer4.0.bias,[48],float32,48,-1330.0,3686.0,588.0833129882812,1045.26708984375
layer5.0.weight,"[48, 48, 3, 3]",float32,20736,-127.0,76.0,-0.7678915858268738,10.953970909118652
layer5.0.bias,[48],float32,48,-1101.0,2478.0,391.8541564941406,713.2509155273438
layer6.0.weight,"[48, 48, 3, 3]",float32,20736,-38.0,39.0,-0.40427276492118835,6.158692359924316
layer6.0.bias,[48],float32,48,-3686.0,3032.0,192.3958282470703,1356.3006591796875
layer7.0.weight,"[48, 48, 2, 2]",float32,9216,-66.0,70.0,-0.9460720419883728,13.183879852294922
layer7.0.bias,[48],float32,48,-1829.0,3686.0,351.0833435058594,1351.666748046875
layer8.0.weight,"[64, 48, 3, 3]",float32,27648,-28.0,22.0,-0.25300201773643494,3.629812240600586
layer8.0.bias,[64],float32,64,-1394.0,3686.0,439.015625,1015.5069580078125
layer9.0.weight,"[64, 64, 2, 2]",float32,16384,-77.0,106.0,-0.31048583984375,15.953112602233887
layer9.0.bias,[64],float32,64,-3686.0,3633.0,99.078125,1463.50146484375
layer10.0.weight,"[96, 64, 3, 3]",float32,55296,-19.0,12.0,-0.16876447200775146,1.752556324005127
layer10.0.bias,[96],float32,96,-1090.0,3686.0,500.8645935058594,780.523681640625
layer11.0.weight,"[96, 96, 3, 3]",float32,82944,-89.0,127.0,-0.709936797618866,13.068150520324707
layer11.0.bias,[96],float32,96,-2376.0,2308.0,153.5729217529297,863.8268432617188
layer12.0.weight,"[96, 96, 3, 3]",float32,82944,-70.0,53.0,-0.30732783675193787,5.912333965301514
layer12.0.bias,[96],float32,96,-2129.0,3686.0,288.8645935058594,1236.7244873046875
layer13.0.weight,"[96, 96, 3, 3]",float32,82944,-16.0,17.0,-0.11189477145671844,2.207542896270752
layer13.0.bias,[96],float32,96,-1497.0,3686.0,540.3541870117188,828.9859619140625
layer14.0.weight,"[125, 96, 3, 3]",float32,108000,-127.0,60.0,-6.777712821960449,11.967972755432129
layer14.0.bias,[125],float32,125,-834.0,796.0,-145.92799377441406,254.49986267089844
